UCL_CODE11,UCL_NAME11,HubDist
115077,Harden - Murrumburrah,0.017887764128514
115078,Harrington,0.020978732103333
115079,Hawks Nest,0.020731837350854
115080,Hay,0.014821616139912
115081,Heddon Greta,0.020134223063412
115082,Hill Top,0.019740479909534
115083,Holbrook,0.017562344226206
115084,Howlong,0.017130210604158
115085,Iluka,0.021154622551740
115086,Jindabyne,0.019035522998904
115087,Jindera,0.017327563742921
115088,Junction Hill,0.020765438849875
115089,Junee,0.017344776285745
115090,Kandos,0.018701713512274
115091,Karuah,0.020514667384089
115092,Kootingal,0.019209668493598
115093,Kurrajong,0.019597012384588
115094,Kyogle,0.020704745811753
115095,Lake Cargelligo,0.015558269575980
115096,Lake Cathie,0.021069678355028
115097,Lemon Tree Passage,0.020609012104098
115098,Lightning Ridge,0.015855182599888
115099,Macksville,0.020948465134896
115100,Maclean,0.021023474543260
115101,Malua Bay,0.020121026117122
115102,Manilla,0.018815782002385
115103,Milton,0.020097021927953
115104,Molong,0.017748017116748
115105,Moruya,0.020060099577341
115106,Mullumbimby,0.021188904548706
115107,Murrumbateman,0.018663732019103
115108,Narooma,0.020217296448392
115109,Narrandera,0.016401945690230
115110,Narromine,0.016861044948665
115111,Nyngan,0.015650885027472
115112,Oberon,0.018904472822741
115113,Ocean Shores,0.021231164439463
115114,Old Bar,0.020918505650529
115115,Picton,0.019780297819209
115116,Portland (NSW),0.018887070624410
115117,Quirindi,0.018963235827127
115118,Richmond North,0.019651339580861
115119,Robertson,0.019933942771220
115120,Sandy Beach - Emerald Beach,0.021110772947836
115121,Shoal Bay,0.020740756160123
115122,Shoalhaven Heads,0.020169890601346
115123,Silverdale - Warragamba,0.019670075335537
115124,Skennars Head,0.021328726944588
115125,Smiths Lake,0.020953197637501
115126,South Golden Beach,0.021235334871451
115127,South West Rocks,0.021115324253888
115128,Stanwell Park,0.020145516149573
115129,Suffolk Park,0.021319011654244
115130,Sussex Inlet,0.020164322151657
115131,Tahmoor,0.019779814783985
115132,Tanilba Bay,0.020579937319064
115133,Tathra,0.020349742443203
115134,Tea Gardens,0.020701764505088
115135,Temora,0.017104720251209
115136,Tenterfield,0.019784140644235
115137,The Oaks,0.019702485938904
115138,Thirlmere,0.019748396087453
115139,Tocumwal,0.016165963187115
115140,Tumbarumba,0.018177905049277
115141,Tuross Head,0.020150806358702
115142,Uralla,0.019542480214211
115143,Urunga,0.020998767226817
115144,Valla Beach,0.021014318622128
115145,Vincentia,0.020209991572542
115146,Walcha,0.019717252517961
115147,Walgett,0.016118304781843
115148,Wallacia,0.019691138080003
115149,Wallerawang,0.018990371333507
115150,Warialda,0.018429203630424
115151,Warren,0.016298201802989
115152,Wee Waa,0.017448618749048
115153,Wellington,0.017635844467711
115154,Wentworth,0.012213074284224
115155,Werris Creek,0.018889140479848
115156,West Wyalong,0.016581614529317
115157,Wilberforce,0.019764397297155
115158,Wingham,0.020683192198859
115159,Wollongbar,0.021148809127979
115160,Woolgoolga,0.021106638279509
115161,Wyee,0.020227706910821
115162,Wyee Point,0.020256205341731
115163,Yenda,0.015845247730589
121001,Adelong (L),0.017993102376150
121002,Baradine (L),0.017253579614465
121003,Bawley Point (L),0.020141660174916
121004,Beechwood (L),0.020871302614958
121005,Belimbla Park (L),0.019677167161147
121006,Berrara - Cudmirrah (L),0.020149552470212
121007,Berridale (L),0.019190192953051
121008,Berrigan (L),0.016277825040017
121009,Boggabilla (L),0.018082113182479
121010,Boggabri (L),0.018146719863772
121011,Brandy Hill (L),0.020276087248396
121012,Brewarrina (L),0.014879475460504
121013,Brooklyn (L),0.020106177060546
121014,Burringbar (L),0.021157236587611
121015,Catherine Field (L),0.019850054632917
121016,Clarence Town (L),0.020325263984060
121017,Clifton Grove (L),0.018072773480536
121018,Clunes (L) (NSW),0.021123347469615
121019,Cobbitty (L),0.019781327672453
121020,Coleambally (L),0.015863069075915
121021,Coolah (L),0.018124935963595
121022,Coutts Crossing (L),0.020765373593409
121023,Cowan (L),0.020078292017209
121024,Crescent Head (L),0.021109231939482
121025,Cudgen (L),0.021229933821366
121026,Cumbalum (L),0.021264373249938
121027,Cunjurong Point - Manyana (L),0.020136327244410
121028,Curlewis (L),0.018455517434355
121029,Dareton (L),0.012300151830512
121030,Darlington Point (L),0.015839246593675
121031,Diamond Beach (L),0.020890356193237
121032,Dunedoo (L),0.017876164408951
121033,East Jindabyne (L),0.019039383778774
121034,Ellalong (L),0.019983229339704
121035,Emerald Beach West (L),0.021087476181309
121036,Erowal Bay (L),0.020203496994412
121037,Eugowra (L),0.017419409867183
121038,Exeter (L) (NSW),0.019682013189500
121039,Firgrove (L),0.017319610332109
121040,Ganmain (L),0.016849836781774
121041,Gillieston Heights (L),0.020131707573430
121042,Glenorie (L),0.019930745261455
121043,Green Point (L),0.020932668680581
121044,Hallidays Point - Black Head (L),0.020899292299413
121045,Hanwood (L),0.015754545677318
121046,Hastings Point (L),0.021253918429521
121047,Henty (L),0.017217831130498
121048,Hillston (L),0.014895748868498
121049,Huskisson (L),0.020187534385341
121050,Jamberoo (L),0.020118121724102
121051,Jerilderie (L),0.016029565937370
121052,Jilliby (L),0.020178173049576
121053,Kalaru (L),0.020320697141171
121054,Kendall (L),0.020956053383754
121055,Kianga (L),0.020222508426827
121056,Killingworth (L),0.020223100151383
121057,King Creek (L),0.020966599433719
121058,Kings Point (L),0.020126625725741
121059,Kingswood (L),0.019094725022611
121060,Kirkham (L),0.019817751249586
121061,Kurrajong Heights (L),0.019548153515259
121062,Lake Tabourie (L),0.020119359481283
121063,Lawrence (L),0.020917584578885
121064,Lockhart (L),0.016788201779581
121065,Long Beach (L),0.020076195407370
121066,Louth Park (L),0.020168698378104
121067,Maianbar (L),0.020219577998841
121068,Marulan (L),0.019439814214366
121069,Mathoura (L),0.015617837065628
121070,Medlow Bath (L),0.019284320133316
121071,Menangle (L),0.019879190831647
121072,Merriwa (L),0.018836257002906
121073,Millfield (L),0.019926301942781
121074,Millthorpe (L),0.018180104957795
121075,Minmi (L),0.020258251977923
121076,Moama - West (L),0.015630365345756
121077,Modanville (L),0.021014411360083
121078,Moonee Beach (L),0.021088914492089
121079,Moonee Beach West (L),0.021065726230085
121080,Moruya Heads (L),0.020110540956319
121081,Mount Vernon (L),0.019841797325665
121082,Mount Victoria (L),0.019220179398868
121083,Mulgoa (L),0.019689348978551
121084,Murrurundi (L),0.019178229743821
121085,Nabiac (L),0.020764420809467
121086,New Berrima (L),0.019655592980339
121087,Nords Wharf (L),0.020334420893068
121088,North Rothbury (L),0.019943075784974
121089,Nowra Hill (L),0.020029122114254
121090,Nunderi (L),0.021136015806706
121091,Oakdale (L),0.019634977656339
121092,Old Erowal Bay (L),0.020182363962393
121093,Pambula (L),0.020377442701513
121094,Pambula Beach (L),0.020405909744781
121095,Paxton (L),0.019958566214179
121096,Peak Hill (L),0.016984050368372
121097,Pitt Town (L),0.019787349097003
121098,Repton (L),0.021013756468374
121099,Richmond Hill (L),0.021070599231568
121100,Rylstone (L),0.018678964647307
121101,Safety Beach (L),0.021105079375032
121102,Salt Ash (L),0.020521331298646
121103,Scotts Head (L),0.021031316554503
121104,Smithtown - Gladstone (L),0.021044184892488
121105,Stroud (L),0.020446045663697
121106,Stuarts Point (L),0.021045007266940
121107,Tallwoods Village (L),0.020872116723830
121108,The Rock (L),0.017150093790683
121109,Tingha (L),0.019128314559937
121110,Tinonee (L),0.020747409630909
121111,Tomakin (L),0.020104378043659
