UCL_CODE11,score_internet
101001,0.8351729014420078
102001,0.8378416006558019
102002,0.9014032950589631
102003,0.8369827389833908
102004,0.8858590492377121
103001,0.7424859784410346
111001,0.7737787475336936
111002,0.8595569971465582
112001,0.810832187837868
112002,0.9127079859269018
112003,0.7551907656505483
112004,0.807697544033005
112005,0.7981908315112499
112006,0.7615182518192086
112007,0.7628936096803145
112008,0.7251014506677254
112009,0.7841048475528005
112010,0.8673353660578361
112011,0.8616383197550395
112012,0.7765756017530934
112013,0.8323440902463881
113001,0.8383294091934154
113002,0.7594029405425472
113003,0.7568667103756439
113004,0.9114133993347477
113005,0.7208998772013342
113006,0.802480053143996
113007,0.7657037472011357
113008,0.7400426820555185
113009,0.7231265496054838
113010,0.6773726159188209
113011,0.8857394065430736
113012,0.7807585621971237
113013,0.7224112938344517
113014,0.8315676643835481
113015,0.7972579473907055
113016,0.8246080381737739
113017,0.7279476713870163
113018,0.7524973988296109
113019,0.8411673410726348
113020,0.7463380124180332
113021,0.8010502220670649
114001,0.7962790503246426
114002,0.7012228725138145
114003,0.7602143618104975
114004,0.7280109331527634
114005,0.7576567670636131
114006,0.7118791239993528
114007,0.7077163146744265
114008,0.7087887587092097
114009,0.6916936300039153
114010,0.7177120798760775
114011,0.965331796792471
114012,0.7195527875979568
114013,0.7405604597085957
114014,0.9302389560488687
114015,0.8711593982649947
114016,0.8381657686029342
114017,0.6372464869292022
114018,0.8493020468794853
114019,0.7667601203664532
114020,0.7845120914791341
114021,0.7061829272041191
114022,0.7102315160567588
114023,0.8697986092574321
114024,0.8246080381737739
114025,0.765616807461054
114026,0.7948790124436954
114027,0.8826213112729967
114028,0.7125487227890869
114029,0.8088751543733608
114030,0.7697025288566626
114031,0.7411679286630453
114032,0.8079000500024915
114033,0.7440455376170275
115001,0.7363956097965682
115002,0.8663446813523383
115003,0.8212187848299546
115004,0.952591888921477
115005,0.8021769280247877
115006,0.6683615162497252
115007,0.8903867702144788
115008,0.8626523948374698
115009,0.7100387862954081
115010,0.732468862925835
115011,0.768240618830753
115012,0.7948790124436954
115013,0.7186570608891771
115014,0.794090502907871
115015,0.8637956453682913
115016,0.7815101759651106
115017,0.8226754795020478
115018,0.6543108819853907
115019,0.8766647295105288
115020,0.7787332464971333
115021,0.8212187848299546
115022,0.6892421132238548
115023,0.7962790503246426
115024,0.7134230600109833
115025,0.5636824528310841
115026,0.9182759831460674
115027,0.8051063877397466
115028,0.7443735033441449
115029,0.8757287828473517
115030,0.8234882544201777
115031,0.8402785512963858
115032,0.7551313288486596
115033,0.8930164538511248
115034,0.8826401746885841
115035,0.9161384557103412
115036,0.8748141985396941
115037,0.8903867702144788
115038,0.8184572198426606
115039,0.8395872926520856
115040,0.7424722787183418
115041,0.6836269944673011
115042,0.8940124347202398
115043,0.6372400922962721
115044,0.7985619312162692
115045,0.6776483542847651
115046,0.5750835709589799
115047,0.7222489298481587
115048,0.8021769280247877
115049,0.7558491446131895
115050,0.7542809444502634
115051,0.8156409096495333
115052,0.7815101759651106
115053,0.7507719873541666
115054,0.7293415799578599
115055,0.952591888921477
115056,0.8022201582532373
115057,0.7238359539441372
115058,0.9169293896729823
115059,0.720473579705217
115060,0.8246080381737739
115061,0.732468862925835
115062,0.7985619312162692
115063,0.6773726159188209
115064,0.9182759831460674
115065,0.9354792887096257
115066,0.871785775936987
115067,0.6730317893754036
115068,0.9182759831460674
115069,0.7323086482202104
115070,0.7542809444502634
115071,0.71455980803522
115072,0.8757287828473517
115073,0.7089053054411543
115074,0.7697025288566626
115075,0.7094476386122698
115076,0.7186477180951301
115077,0.7134230600109833
115078,0.769944131951759
115079,0.8235555757731985
115080,0.6301642178046672
115081,0.7807585621971237
115082,0.8940124347202398
115083,0.8156409096495333
115084,0.7411679286630453
115085,0.7697025288566626
115086,0.7322389297708662
115087,0.8156409096495333
115088,0.7400426820555185
115089,0.7371141699007192
115090,0.6626111277926068
115091,0.8711593982649947
115092,0.768240618830753
115093,0.9182759831460674
115094,0.725222508027042
115095,0.6372400922962721
115096,0.7962790503246426
115097,0.8339432435009166
115098,0.5742873641240166
115099,0.7515001852080504
115100,0.7697025288566626
115101,0.8141338768702943
115102,0.768240618830753
115103,0.8010502220670649
115104,0.8219533275713051
115105,0.8025419402964483
115106,0.7795681102515161
115107,0.9037842312029505
115108,0.7815101759651106
115109,0.6858420852242884
115110,0.6901768163652346
115111,0.6396069196289231
115112,0.705788617464868
115113,0.8402785512963858
115114,0.8669583322195392
115115,0.8748141985396941
115116,0.7284037596314474
115117,0.7043834439174386
115118,0.830249561881204
115119,0.8904494382022472
115120,0.9253343799692957
115121,0.8246080381737739
115122,0.8226754795020478
115123,0.906319982891691
115124,0.9302389560488687
115125,0.8243854550039745
115126,0.8402785512963858
115127,0.7693105084903243
115128,0.965331796792471
115129,0.7780199621520419
115130,0.7347764594955606
115131,0.8748141985396941
115132,0.8339432435009166
115133,0.794090502907871
115134,0.8235555757731985
115135,0.730089727384699
115136,0.670857644841804
115137,0.9051866285524356
115138,0.8748141985396941
115139,0.732468862925835
115140,0.736220777722511
115141,0.8025419402964483
