UCL_CODE11,score_coast
101001,0.8415122517698833
102001,0.5345595544638946
102002,0.8180027731555779
102003,0.8711585328188871
102004,0.8811162962597902
103001,0.8646483399461328
111001,0.39256859788385545
111002,0.8015247605110742
112001,0.4629185652031095
112002,0.6005794827092208
112003,0.7114119560118317
112004,0.867804589079282
112005,0.32772020990946993
112006,0.5472147610187614
112007,0.7174052104594247
112008,0.2782023564695568
112009,0.7718297283631701
112010,0.4031295846691554
112011,0.8906560741574807
112012,0.41742157146955994
112013,0.31836208778725816
113001,0.48046025422683725
113002,0.9347728562470679
113003,0.9178769520329036
113003,0.9178769520329036
113004,0.6800129555627301
113005,0.25846552226209274
113006,0.4305102433147724
113007,0.8390681296376683
113008,0.6840915573798365
113009,0.24764226514798027
113010,0.7325001306219179
113011,0.8048517327406992
113012,0.750969711645247
113013,0.5532535384935997
113014,0.8188120783154791
113015,0.5426264577404294
113016,0.8781685391348724
113017,0.3129033438658124
113018,0.8406043688102626
113019,0.6220852868808437
113020,0.7523087685240295
113021,0.8196261723444883
113021,0.8196261723444883
114001,0.7375546970107287
114002,0.638951416103684
114003,0.5459138883104415
114004,0.35936092131752095
114005,0.3658271934110938
114006,0.3752394308075653
114007,0.36957699892268614
114008,0.3033685834962834
114009,0.4601806516629722
114010,0.3639180010312113
114011,0.7728559903289816
114012,0.3955940476706705
114013,0.2573646922096997
114014,0.8446485821229699
114015,0.8484202296161638
114016,0.9208783160021806
114017,0.2768346983304524
114018,0.6652901233896176
114019,0.4327123543239475
114020,0.7480945183000267
114021,0.8968949827766564
114022,0.2933236573825161
114023,0.7662593475983963
114024,0.9376012830922937
114025,0.5141164406043779
114026,0.8193058894724289
114027,0.8804500691190564
114028,0.4011076182580279
114029,0.7585738905411804
114030,0.8376036631384502
114030,0.8376036631384502
114031,0.3857516597611258
114032,0.4566105563035565
114033,0.365446409054375
115001,0.5321775281671639
115002,0.7934099155537359
115003,0.953225198115881
115004,0.7156167864190879
115005,0.9340211949699648
115006,0.2664830462443375
115007,0.8199301768931526
115008,0.7024710441653798
115009,0.3638814668024327
115010,0.392154809876739
115011,0.35673736738105455
115012,0.795191836253582
115013,0.39653665241344993
115014,0.7728285602908871
115015,0.7888274678213398
115016,0.932919898924844
115016,0.932919898924844
115017,0.7308306238759298
115018,0.34552605937073066
115019,0.5785117143080738
115020,0.4212294433811282
115021,0.9413151080057756
115022,0.6055100782755662
115023,0.7707784726946811
115024,0.4091210731011993
115025,0.10143456132114159
115026,0.6568291943019043
115027,0.7735359456769118
115028,0.6556724050661625
115029,0.6845336132742781
115030,0.8681416573490559
115031,0.8005398259014216
115032,0.768023436597145
115033,0.6374491773443735
115034,0.8270507612271827
115035,0.562416222174692
115036,0.6833738652673464
115037,0.8836883665514581
115038,0.9011349492183822
115039,0.7379771670020687
115040,0.36476056812001034
115041,0.13086274113603802
115042,0.694481345387942
115043,0.23392153284209172
115044,0.2963543036259455
115045,0.3203460110458902
115046,0.2528256412982025
115047,0.7050777491549769
115048,0.8802820120669994
115049,0.48728349853975506
115050,0.7944671810519801
115051,0.3586081108396614
115052,0.8587512096118921
115053,0.5217417941354479
115054,0.6888375244157363
115055,0.6967593064707498
115056,0.6989352779636886
115057,0.9242242689640446
115058,0.31406571972708286
115059,0.7302507827875359
115060,0.9386569766441458
115061,0.3704907312273179
115062,0.3249900785589428
115063,0.763759255984274
115064,0.7090462622223163
115065,0.8240301130234982
115066,0.7534269692683337
115067,0.30636254923340134
115068,0.7068691804870871
115069,0.6287703669370833
115070,0.799915216630658
115071,0.33032683792762174
115072,0.6997560685923734
115073,0.4136434857284279
115074,0.7608238021873577
115074,0.7608238021873577
115075,0.3830420369648786
115076,0.47676724019117767
115077,0.3837385180728724
115078,0.7410634787338984
115079,0.8752059024234397
115080,0.27858859882742526
115081,0.7675076418538238
115082,0.6905318424558103
115083,0.37096094786443934
115084,0.370768862906546
115085,0.8718191022644417
115085,0.8718191022644417
115086,0.4753979821351546
115087,0.3802949308997927
115088,0.6760230071277109
115089,0.3278362382749903
115090,0.49682222771799744
115091,0.9514766659690959
115092,0.42307409055162915
115093,0.6710866532468938
115094,0.6129069559096936
115095,0.19564848938217705
115096,0.7940778185820516
115097,0.886441471840561
115098,0.16319199027754194
115099,0.8028302090110612
115100,0.7691128969818763
115100,0.7691128969818763
115101,0.8966830731341566
115102,0.37409725288318296
115103,0.8261356204110848
115104,0.37566567855624455
115105,0.7893137593138041
115105,0.7893137593138041
115106,0.771504407948493
115107,0.47775839198147463
115108,0.888293886118034
115109,0.2697954751781315
115110,0.298498809074247
115111,0.2080061095781629
115112,0.5061337612762759
115112,0.5061337612762759
115113,0.780008178291939
