UCL_CODE11,score_rent
322133,0.83
322127,0.75
314017,0.59
322135,0.82
321104,0.83
321122,0.7
322048,0.61
322027,0.74
322105,0.62
322014,0.62
322050,0.66
322132,0.7
321003,0.71
315092,0.62
321113,0.72
313007,0.59
322035,0.8
322141,0.88
313004,0.6
321020,0.66
321064,0.47
322115,0.47
314011,0.47
315071,0.74
311002,0.59
322063,0.6
321079,0.45
322116,0.77
314005,0.59
322140,0.61
314020,0.48
322131,0.58
312002,0.64
322106,0.46
322110,0.32
321078,0.38
322025,0.38
321074,0.25
302001,0.27
322093,0.6
321111,0.65
322067,0.5
321075,0.5
321107,0.52
321094,0.35
321065,0.51
321080,0.29
321069,0.23
314006,0.57
322087,0.88
315021,0.79
322101,0.79
314016,0.77
311001,0.49
322041,0.39
322008,0.37
322042,0.56
322099,0.57
322075,0.67
322040,0.55
315040,0.39
322080,0.59
322034,0.41
313002,0.47
315049,0.55
321035,0.49
315030,0.35
322082,0.21
315003,0.88
322130,0.79
322045,0.88
321089,0.94
322123,0.86
322137,0.77
321055,0.7
322134,0.86
315100,0.24
322022,0.82
312005,0.51
322136,0.73
322060,0.87
322109,0.84
322007,0.77
322020,0.87
322114,0.88
315055,0.7
303002,0.28
322092,0.41
321117,0.47
322013,0.4
321046,0.38
322062,0.5
315079,0.38
321062,0.36
321038,0.37
313006,0.46
322129,0.38
321023,0.47
311003,0.55
314008,0.51
321051,0.43
322074,0.32
322139,0.54
321090,0.5
315101,0.38
322061,0.63
322046,0.72
314007,0.66
315044,0.68
322121,0.75
315078,0.85
315085,0.4
322094,0.57
303003,0.4
322119,0.52
322001,0.6
321100,0.47
312001,0.44
322091,0.55
321099,0.57
322103,0.63
321011,0.73
321041,0.65
314014,0.6
322097,0.75
322083,0.84
321015,0.67
315095,0.57
313005,0.58
322086,0.6
322064,0.76
322125,0.51
312003,0.47
322120,0.56
321084,0.62
322117,0.68
401001,0.29
422033,0.57
413001,0.33
421010,0.45
422015,0.5
413002,0.46
421024,0.55
415030,0.45
421041,0.48
421039,0.5
415043,0.58
415002,0.51
421030,0.51
421042,0.58
422001,0.47
422016,0.54
415026,0.5
415047,0.51
422048,0.64
422055,0.63
421006,0.58
421023,0.68
414001,0.57
415041,0.53
415009,0.61
422044,0.71
421011,0.79
422045,0.75
422047,0.77
422058,0.82
413006,0.72
422037,0.73
415015,0.67
415028,0.64
415045,0.62
422043,0.74
422054,0.72
415008,0.68
421009,0.73
422005,0.81
422022,0.86
422011,0.62
422061,0.82
422034,0.72
422030,0.96
415010,0.79
422023,0.8
422059,0.94
413004,0.69
415038,0.65
412003,0.58
422039,0.75
422056,0.54
422017,0.65
422036,0.62
422060,0.78
415037,0.74
415027,0.77
415031,0.68
422029,0.88
422025,0.78
422035,0.78
422050,0.81
412002,0.68
422018,0.76
415006,0.7
422026,0.85
415021,0.7
422049,0.71
413003,0.65
422013,0.78
415036,0.71
421032,0.74
422052,0.82
422053,0.76
521018,0.6
512002,0.43
515011,0.36
521024,0.4
522047,0.51
521001,0.62
522018,0.55
522063,0.58
511001,0.47
515031,0.57
522024,0.67
522001,0.61
515020,0.66
522054,0.72
522046,0.49
522061,0.39
522057,0.37
522008,0.36
512003,0.3
522025,0.4
522053,0.21
515029,0.41
515033,0.35
522026,0.49
501001,0.27
522010,0.37
521042,0.36
521052,0.49
522067,0.29
513001,0.29
512001,0.52
521045,0.55
522027,0.82
515018,0.7
522050,0.81
521036,0.5
522030,0.7
521041,0.53
521050,0.81
522062,0.82
522012,0.6
522045,0.75
521020,0.76
522042,0.87
521057,0.59
521054,0.53
521005,0.64
521049,0.8
522058,0.85
522022,0.56
515024,0.63
522059,0.78
513002,0.35
522064,0.81
522056,0.89
522029,0.55
522020,0.87
522065,0.87
514004,0.75
513004,0.49
521047,0.89
513003,0.46
522048,0.67
514002,0.57
522049,0.8
515005,0.64
522014,0.55
512005,0.48
521043,0.7
522066,0.93
512004,0.59
515010,0.46
522009,0.44
515027,0.63
522060,0.88
522051,0.8
522043,0.7
603001,0.52
622029,0.51
622008,0.62
614001,0.67
621011,0.43
622014,0.47
621007,0.49
622012,0.6
621019,0.54
611001,0.55
615011,0.51
615002,0.67
622027,0.73
622035,0.62
622007,0.66
622004,0.67
622024,0.66
622025,0.72
615012,0.65
622032,0.8
615016,0.62
622016,0.72
622031,0.77
622003,0.87
622026,0.66
622022,0.74
622023,0.63
621006,0.63
622011,0.69
622018,0.63
622028,0.7
621029,0.73
622030,0.68
613001,0.67
622020,0.65
622019,0.65
614002,0.69
615010,0.65
612001,0.6
615017,0.57
621017,0.72
622017,0.6
621005,0.83
615021,0.7
622036,0.7
622038,0.82
703001,0.46
721008,0.24
721009,0.19
712001,0.39
722020,0.81
722012,0.6
722028,0.98
722031,1.0
722036,0.98
722034,0.96
715007,0.68
722030,0.85
722025,0.93
715008,0.97
722026,0.96
722032,0.95
722029,0.99
721016,0.89
715006,0.85
722016,0.9
722027,0.96
722008,0.54
722035,0.96
822001,0.56
922002,0.77
